Associated Gene Name	Ensembl Gene ID	CD4 naive	CD4 tcr	CD4 Th1	CD8 tcr	CD8 naive
Hccs	ENSMUSG00000031352	21452	93803	133905	230314	20091
Rbbp7	ENSMUSG00000031353	45738	394724	1190199	1240015	342401
Syap1	ENSMUSG00000031357	199	6098	41665	32043	10487
Msl3	ENSMUSG00000031358	756	581	1893	6186	1904
Ctps2	ENSMUSG00000031360	36858	32523	51139	30130	32721
Zfp275	ENSMUSG00000031365	610	2778	1103	2151	1098
Ap1s2	ENSMUSG00000031367	11714	5822	9835	10905	11208
Zrsr2	ENSMUSG00000031370	1792	2383	8521	4602	5427
Abcd1	ENSMUSG00000031378	8426	5247	34078	17292	9966
Hcfc1	ENSMUSG00000031386	37718	45407	93069	99606	40131
Naa10	ENSMUSG00000031388	8445	129241	198525	312380	36139
Arhgap4	ENSMUSG00000031389	85830	34352	102944	49791	79078
Irak1	ENSMUSG00000031392	8968	1243	4037	1370	1885
Mecp2	ENSMUSG00000031393	103487	107754	13368	152940	242450
Fam3a	ENSMUSG00000031399	1571	2622	8784	13276	2472
G6pdx	ENSMUSG00000031400	64530	109322	227143	280043	55814
Mpp1	ENSMUSG00000031402	14699	16615	35735	38099	23640
Dkc1	ENSMUSG00000031403	177494	399903	288305	551809	309237
Morf4l2	ENSMUSG00000031422	4909	48452	40238	123952	7342
Psmd10	ENSMUSG00000031429	3728	29158	97911	26845	36696
Rbm41	ENSMUSG00000031433	298	2320	2372	2889	900
Atp11a	ENSMUSG00000031441	82	89	1132	470	49
Cul4a	ENSMUSG00000031446	3193	17790	36586	29055	5692
Lamp1	ENSMUSG00000031447	5514	12411	15627	59068	14371
Rasa3	ENSMUSG00000031453	43382	26695	24407	20634	54008
Agpat5	ENSMUSG00000031467	3908	7865	42025	44404	7425
Nek3	ENSMUSG00000031478	1443	2563	973	4071	456
Vps36	ENSMUSG00000031479	47511	78226	156772	114395	65462
Slc25a15	ENSMUSG00000031482	1215	1357	1904	13457	1600
Erlin2	ENSMUSG00000031483	8273	31640	25951	52931	12100
Prosc	ENSMUSG00000031485	6174	32265	67842	109785	50946
Rab11fip1	ENSMUSG00000031488	1196	5034	80246	21778	3272
Col4a1	ENSMUSG00000031502	68	201	95	456	72
Carkd	ENSMUSG00000031505	8382	28121	62243	56744	19763
Ptpn7	ENSMUSG00000031506	33328	35466	149744	49478	38154
Arhgef7	ENSMUSG00000031511	26023	39543	43926	111888	28050
Dctn6	ENSMUSG00000031516	3955	17189	61158	139615	8697
Aga	ENSMUSG00000031521	518	400	12165	3158	2076
Eri1	ENSMUSG00000031527	5379	17251	64990	50771	3324
Mrps31	ENSMUSG00000031533	18451	20900	58287	73035	13149
Polb	ENSMUSG00000031536	32259	30906	28614	82873	36713
Ikbkb	ENSMUSG00000031537	26732	26299	46661	49433	48864
Ap3m2	ENSMUSG00000031539	1748	1502	3351	2100	5038
Kat6a	ENSMUSG00000031540	4197	4378	3798	4497	5176
Agpat6	ENSMUSG00000031545	527	8143	18938	28656	1644
Gins4	ENSMUSG00000031546	160	5379	50360	114242	744
Plekha2	ENSMUSG00000031557	23974	40277	88630	90400	29305
Rwdd4a	ENSMUSG00000031568	1430	5216	39969	83341	8224
Ash2l	ENSMUSG00000031575	32245	24137	45233	53283	41030
Tti2	ENSMUSG00000031577	428	4490	9509	54371	1876
Mak16	ENSMUSG00000031578	14625	76101	40169	302997	18683
Wrn	ENSMUSG00000031583	609	1288	1406	3689	499
Gsr	ENSMUSG00000031584	123542	119964	191827	659452	254741
Gtf2e2	ENSMUSG00000031585	16751	73733	95352	190434	34211
Frg1	ENSMUSG00000031590	183658	219204	233980	334870	244693
Asah1	ENSMUSG00000031591	12270	13094	57337	11361	13810
Pcm1	ENSMUSG00000031592	734	5112	5794	11039	1517
Cnot7	ENSMUSG00000031601	17754	36517	104531	61278	27927
Galnt7	ENSMUSG00000031608	9281	7868	117671	26447	10556
Sap30	ENSMUSG00000031609	1775	7469	17594	20324	2748
Sin3b	ENSMUSG00000031622	3725	4263	7787	5499	3368
Irf2	ENSMUSG00000031627	5163	3794	6788	7274	9438
Casp3	ENSMUSG00000031628	21544	91104	1224597	321781	39599
Slc25a4	ENSMUSG00000031633	105098	79603	207139	348811	137732
Ufsp2	ENSMUSG00000031634	8944	15239	34978	32928	10501
Cbr4	ENSMUSG00000031641	27904	3555	67334	29875	24274
Sh3rf1	ENSMUSG00000031642	260	2488	1349	2862	34
Nek1	ENSMUSG00000031644	331	1949	1899	1449	796
N4bp1	ENSMUSG00000031652	145	622	7697	1865	632
Heatr3	ENSMUSG00000031657	3510	45609	47389	196474	5252
Adcy7	ENSMUSG00000031659	2001	872	7343	3512	5422
